entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_points,candles_held,win
2024-01-02 09:15:00+05:30,1296.0,2024-01-02 09:35:00+05:30,1302.4799999999998,profit_target,0.4999999999999839,6.479999999999791,4,1
2024-01-02 09:45:00+05:30,1301.0,2024-01-02 09:55:00+05:30,1297.097,stop_loss,-0.30000000000000154,-3.90300000000002,2,0
2024-01-02 10:00:00+05:30,1297.7,2024-01-02 10:20:00+05:30,1293.8069,stop_loss,-0.3000000000000003,-3.893100000000004,4,0
2024-01-02 10:35:00+05:30,1291.9,2024-01-02 11:05:00+05:30,1288.0243,stop_loss,-0.300000000000004,-3.8757000000000517,6,0
2024-01-02 11:10:00+05:30,1289.25,2024-01-02 12:50:00+05:30,1294.0,max_holding,0.3684312584836145,4.75,20,1
2024-01-02 13:00:00+05:30,1291.0,2024-01-02 14:10:00+05:30,1297.455,profit_target,0.4999999999999944,6.454999999999927,14,1
2024-01-02 14:15:00+05:30,1297.0,2024-01-02 14:40:00+05:30,1303.485,profit_target,0.4999999999999923,6.4849999999999,5,1
2024-01-03 09:15:00+05:30,1311.8,2024-01-03 09:35:00+05:30,1307.8645999999999,stop_loss,-0.30000000000000554,-3.9354000000000724,4,0
2024-01-03 09:40:00+05:30,1307.1,2024-01-03 10:15:00+05:30,1303.1787,stop_loss,-0.299999999999998,-3.921299999999974,7,0
2024-01-03 10:20:00+05:30,1302.1,2024-01-03 12:00:00+05:30,1302.1,max_holding,0.0,0.0,20,0
2024-01-03 14:20:00+05:30,1300.2,2024-01-03 15:00:00+05:30,1296.2994,stop_loss,-0.2999999999999954,-3.9005999999999403,8,0
2024-01-04 09:15:00+05:30,1290.7,2024-01-04 09:35:00+05:30,1297.1535,profit_target,0.4999999999999883,6.453499999999849,4,1
2024-01-04 09:40:00+05:30,1297.75,2024-01-04 11:20:00+05:30,1298.45,max_holding,0.053939510691585084,0.7000000000000455,20,1
2024-01-04 14:20:00+05:30,1297.15,2024-01-04 15:15:00+05:30,1298.8,eod,0.12720194272056923,1.6499999999998636,11,1
2024-01-05 09:15:00+05:30,1303.8,2024-01-05 09:30:00+05:30,1299.8886,stop_loss,-0.29999999999999677,-3.911399999999958,3,0
2024-01-05 09:35:00+05:30,1300.6,2024-01-05 10:35:00+05:30,1307.1029999999998,profit_target,0.49999999999999456,6.502999999999929,12,1
2024-01-05 10:40:00+05:30,1307.0,2024-01-05 11:15:00+05:30,1303.079,stop_loss,-0.30000000000000376,-3.921000000000049,7,0
2024-01-05 13:55:00+05:30,1301.1,2024-01-05 15:15:00+05:30,1303.3,eod,0.16908769502728813,2.2000000000000455,16,1
2024-01-08 09:15:00+05:30,1312.7,2024-01-08 09:30:00+05:30,1308.7619,stop_loss,-0.3000000000000058,-3.9381000000000768,3,0
2024-01-08 09:35:00+05:30,1308.85,2024-01-08 09:45:00+05:30,1304.92345,stop_loss,-0.2999999999999929,-3.9265499999999065,2,0
2024-01-08 09:50:00+05:30,1308.5,2024-01-08 11:05:00+05:30,1304.5745,stop_loss,-0.3000000000000043,-3.9255000000000564,15,0
2024-01-08 11:10:00+05:30,1303.7,2024-01-08 11:45:00+05:30,1299.7889,stop_loss,-0.30000000000000254,-3.911100000000033,7,0
2024-01-08 11:50:00+05:30,1290.2,2024-01-08 13:30:00+05:30,1294.8,max_holding,0.3565338707177111,4.599999999999909,20,1
