confidence_threshold,min_adx,atr_multiplier,profit_target_atr,trailing_stop_atr,max_holding,total_trades,win_rate,total_pnl,avg_pnl,profit_factor
0.7,25,1.0,1.0,0.5,15,154,38.311688311688314,-6.679070236201843,-0.04337058594936262,0.5955674525674554
0.7,25,1.0,1.0,0.5,20,154,38.311688311688314,-6.679070236201843,-0.04337058594936262,0.5955674525674554
0.7,25,1.0,1.0,0.5,25,154,38.311688311688314,-6.679070236201843,-0.04337058594936262,0.5955674525674554
0.7,25,1.0,1.0,0.75,15,145,35.86206896551724,-6.049584846707755,-0.04172127480488107,0.6429501443679592
0.7,25,1.0,1.0,0.75,20,145,35.86206896551724,-6.049584846707755,-0.04172127480488107,0.6429501443679592
0.7,25,1.0,1.0,0.75,25,145,35.86206896551724,-6.049584846707755,-0.04172127480488107,0.6429501443679592
0.7,25,1.0,1.0,1.0,15,140,40.0,-5.065836531760909,-0.036184546655435065,0.7170728972500279
0.7,25,1.0,1.0,1.0,20,140,40.0,-5.0970021249460205,-0.036407158035328714,0.7158269294733693
0.7,25,1.0,1.0,1.0,25,140,40.0,-5.05723971757177,-0.03612314083979836,0.7174173524915561
0.7,25,1.0,1.5,0.5,15,153,35.294117647058826,-9.575395713494807,-0.06258428570911638,0.4154364401659159
0.7,25,1.0,1.5,0.5,20,153,35.294117647058826,-9.575395713494807,-0.06258428570911638,0.4154364401659159
0.7,25,1.0,1.5,0.5,25,153,35.294117647058826,-9.575395713494807,-0.06258428570911638,0.4154364401659159
0.7,25,1.0,1.5,0.75,15,141,31.20567375886525,-9.33532938418043,-0.06620800981688248,0.45315783202267196
0.7,25,1.0,1.5,0.75,20,141,31.20567375886525,-9.33532938418043,-0.06620800981688248,0.45315783202267196
0.7,25,1.0,1.5,0.75,25,141,31.20567375886525,-9.33532938418043,-0.06620800981688248,0.45315783202267196
0.7,25,1.0,1.5,1.0,15,131,29.00763358778626,-7.148061568281111,-0.05456535548306192,0.5967315073113846
0.7,25,1.0,1.5,1.0,20,131,29.00763358778626,-7.314569248865862,-0.055836406479892076,0.5911781115493795
0.7,25,1.0,1.5,1.0,25,131,29.00763358778626,-7.274806841491612,-0.05553287665260773,0.5924948594703973
0.7,25,1.0,2.0,0.5,15,153,35.294117647058826,-10.300270457112134,-0.06732202913145185,0.37118392327352434
0.7,25,1.0,2.0,0.5,20,153,35.294117647058826,-10.300270457112134,-0.06732202913145185,0.37118392327352434
0.7,25,1.0,2.0,0.5,25,153,35.294117647058826,-10.300270457112134,-0.06732202913145185,0.37118392327352434
0.7,25,1.0,2.0,0.75,15,140,31.428571428571427,-9.225057387216339,-0.06589326705154527,0.4499778816743784
0.7,25,1.0,2.0,0.75,20,140,31.428571428571427,-9.225057387216339,-0.06589326705154527,0.4499778816743784
0.7,25,1.0,2.0,0.75,25,140,31.428571428571427,-9.225057387216339,-0.06589326705154527,0.4499778816743784
0.7,25,1.0,2.0,1.0,15,126,28.57142857142857,-8.006840111231487,-0.06354635008913878,0.5195032067835805
0.7,25,1.0,2.0,1.0,20,126,28.57142857142857,-8.173347791816237,-0.06486783961758918,0.5143635538072014
0.7,25,1.0,2.0,1.0,25,126,28.57142857142857,-8.133585384441988,-0.0645522649558888,0.5155816495210745
0.7,25,1.5,1.0,0.5,15,138,39.85507246376812,-7.000946183672159,-0.050731494084580865,0.5622455185681942
0.7,25,1.5,1.0,0.5,20,138,39.85507246376812,-7.000946183672159,-0.050731494084580865,0.5622455185681942
0.7,25,1.5,1.0,0.5,25,138,39.85507246376812,-7.000946183672159,-0.050731494084580865,0.5622455185681942
0.7,25,1.5,1.0,0.75,15,131,39.69465648854962,-5.7697752019847055,-0.04404408551133363,0.6470967194041732
0.7,25,1.5,1.0,0.75,20,131,39.69465648854962,-5.875955254062863,-0.04485462026002185,0.6410574456022149
0.7,25,1.5,1.0,0.75,25,131,39.69465648854962,-5.875955254062863,-0.04485462026002185,0.6410574456022149
0.7,25,1.5,1.0,1.0,15,125,48.0,-2.7466253933977964,-0.021973003147182372,0.8299458078510511
0.7,25,1.5,1.0,1.0,20,125,48.0,-2.7551657781845758,-0.022041326225476606,0.8302532380756386
0.7,25,1.5,1.0,1.0,25,125,48.0,-2.6404199244775914,-0.02112335939582073,0.8369232701884801
0.7,25,1.5,1.5,0.5,15,137,36.496350364963504,-9.434705864765855,-0.06886646616617412,0.4024976412124785
0.7,25,1.5,1.5,0.5,20,137,36.496350364963504,-9.434705864765855,-0.06886646616617412,0.4024976412124785
0.7,25,1.5,1.5,0.5,25,137,36.496350364963504,-9.434705864765855,-0.06886646616617412,0.4024976412124785
0.7,25,1.5,1.5,0.75,15,128,37.5,-8.268265098043342,-0.06459582107846361,0.49674764935407717
0.7,25,1.5,1.5,0.75,20,128,37.5,-8.374445150121499,-0.06542535273532421,0.49092729347127473
0.7,25,1.5,1.5,0.75,25,128,37.5,-8.374445150121499,-0.06542535273532421,0.49092729347127473
0.7,25,1.5,1.5,1.0,15,117,35.04273504273504,-4.11841165246224,-0.035200099593694356,0.7474617971720775
0.7,25,1.5,1.5,1.0,20,117,35.8974358974359,-4.11769105951899,-0.03519394067964949,0.7508923461109087
0.7,25,1.5,1.5,1.0,25,117,35.8974358974359,-4.474224455150615,-0.03824123465940697,0.7344075382128079
0.7,25,1.5,2.0,0.5,15,137,36.496350364963504,-10.159580608383182,-0.07415752268892833,0.3565911365111154
0.7,25,1.5,2.0,0.5,20,137,36.496350364963504,-10.159580608383182,-0.07415752268892833,0.3565911365111154
