stop_loss_atr,profit_target_atr,breakeven_rr,trailing_start_rr,trailing_atr,ema_trend_filter,total_trades,win_rate,avg_win,avg_loss,total_return,avg_return,expectancy,profit_factor,max_drawdown,avg_r_multiple
2.0,3.0,1.5,2.0,1.5,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
2.0,3.0,1.5,2.0,1.0,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
2.0,3.0,1.5,1.5,1.5,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
2.0,3.0,1.5,1.5,1.0,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
2.0,3.0,1.5,2.0,0.5,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
2.0,3.0,1.5,1.5,0.5,True,60,55.00000000000001,0.44945791353417786,-0.3519283066000797,5.330046868425719,0.08883411447376198,0.088834114473762,1.5609356780139774,-3.1941201865213715,0.2545623606286027
1.5,3.0,1.5,2.0,0.5,True,65,49.23076923076923,0.47258397518930734,-0.29675200686008096,5.3298709796751655,0.08199801507192563,0.08199801507192558,1.544263351467379,-3.0050435962306374,0.29268319787348257
1.5,3.0,1.5,2.0,1.0,True,65,49.23076923076923,0.47258397518930734,-0.29675200686008096,5.3298709796751655,0.08199801507192563,0.08199801507192558,1.544263351467379,-3.0050435962306374,0.29268319787348257
1.5,3.0,1.5,2.0,1.5,True,65,49.23076923076923,0.47258397518930734,-0.29675200686008096,5.3298709796751655,0.08199801507192563,0.08199801507192558,1.544263351467379,-3.0050435962306374,0.29268319787348257
2.0,3.0,1.0,2.0,1.0,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
2.0,3.0,1.0,1.5,1.0,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
2.0,3.0,1.0,1.5,0.5,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
2.0,3.0,1.0,2.0,0.5,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
2.0,3.0,1.0,2.0,1.5,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
2.0,3.0,1.0,1.5,1.5,True,60,53.333333333333336,0.4460523344467918,-0.3393594385072197,4.771610424095187,0.07952684040158646,0.07952684040158645,1.5021656646799704,-3.194120186521371,0.22956236062860347
1.5,3.0,1.5,1.5,1.5,True,66,50.0,0.4310652663245033,-0.29675200686008096,4.43233756232594,0.06715662973221122,0.06715662973221118,1.4526111243040434,-3.005043596230639,0.25149936566522313
2.0,2.5,1.0,2.0,0.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.0,1.5,1.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,2.0,1.0,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,2.0,0.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,2.0,1.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,1.5,1.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,1.5,1.0,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.5,1.5,0.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
2.0,2.5,1.0,1.5,0.5,True,62,54.83870967741935,0.4026684062303585,-0.3337168688629205,4.346653483670412,0.07010731425274858,0.07010731425274858,1.4651776367965588,-3.770084713135188,0.20484075692645295
