stop_atr,rr_ratio,confidence,min_adx,min_volume,min_body,min_range,total_trades,win_rate,total_return,avg_win,avg_loss,profit_factor,expectancy,avg_r
0.5,2.0,0.8,30,1.2,0.15,2.0,9,44.44444444444444,0.08466886036991121,0.1490150995788791,-0.10227830758912104,1.1655656265061567,0.00940765115221235,0.028926039700944515
0.5,2.0,0.8,30,1.2,0.2,2.0,7,42.857142857142854,-0.17259416984176057,0.11293245603461488,-0.1278478844864013,0.662500927302949,-0.024656309977394368,-0.24852366324164277
0.5,2.0,0.8,30,1.2,0.25,2.0,7,42.857142857142854,-0.17259416984176057,0.11293245603461488,-0.1278478844864013,0.662500927302949,-0.024656309977394368,-0.24852366324164277
0.5,2.0,0.8,30,1.5,0.15,2.0,6,33.33333333333333,-0.08743466096236635,0.15137797974756,-0.09754765511437159,0.7759180862424322,-0.014572443493727744,-0.16017099396139498
0.5,2.0,0.8,30,1.5,0.2,2.0,5,40.0,-0.08743466096236635,0.15137797974756,-0.13006354015249547,0.7759180862424322,-0.017486932192473277,-0.19220519275367395
0.5,2.0,0.8,30,1.5,0.25,2.0,5,40.0,-0.08743466096236635,0.15137797974756,-0.13006354015249547,0.7759180862424322,-0.017486932192473277,-0.19220519275367395
0.5,2.0,0.8,35,1.2,0.15,2.0,8,50.0,0.23121415550657334,0.1490150995788791,-0.09121156070223577,1.6337304003090747,0.028901769438321664,0.1575417946635626
0.5,2.0,0.8,35,1.2,0.2,2.0,6,50.0,-0.026048874705098438,0.11293245603461488,-0.12161541426964768,0.9286031438763115,-0.004341479117516402,-0.12327760711524989
0.5,2.0,0.8,35,1.2,0.25,2.0,6,50.0,-0.026048874705098438,0.11293245603461488,-0.12161541426964768,0.9286031438763115,-0.004341479117516402,-0.12327760711524989
0.5,2.0,0.8,35,1.5,0.15,2.0,5,40.0,0.05911063417429577,0.15137797974756,-0.08121510844027476,1.2426093506881808,0.011822126834859156,0.007794807246326041
0.5,2.0,0.8,35,1.5,0.2,2.0,4,50.0,0.05911063417429577,0.15137797974756,-0.12182266266041214,1.2426093506881808,0.014777658543573935,0.009743509057907551
0.5,2.0,0.8,35,1.5,0.25,2.0,4,50.0,0.05911063417429577,0.15137797974756,-0.12182266266041214,1.2426093506881808,0.014777658543573935,0.009743509057907551
0.5,2.0,0.8,40,1.2,0.15,2.0,8,50.0,0.23121415550657334,0.1490150995788791,-0.09121156070223577,1.6337304003090747,0.028901769438321664,0.1575417946635626
0.5,2.0,0.8,40,1.2,0.2,2.0,6,50.0,-0.026048874705098438,0.11293245603461488,-0.12161541426964768,0.9286031438763115,-0.004341479117516402,-0.12327760711524989
0.5,2.0,0.8,40,1.2,0.25,2.0,6,50.0,-0.026048874705098438,0.11293245603461488,-0.12161541426964768,0.9286031438763115,-0.004341479117516402,-0.12327760711524989
0.5,2.0,0.8,40,1.5,0.15,2.0,5,40.0,0.05911063417429577,0.15137797974756,-0.08121510844027476,1.2426093506881808,0.011822126834859156,0.007794807246326041
0.5,2.0,0.8,40,1.5,0.2,2.0,4,50.0,0.05911063417429577,0.15137797974756,-0.12182266266041214,1.2426093506881808,0.014777658543573935,0.009743509057907551
0.5,2.0,0.8,40,1.5,0.25,2.0,4,50.0,0.05911063417429577,0.15137797974756,-0.12182266266041214,1.2426093506881808,0.014777658543573935,0.009743509057907551
0.5,2.0,0.85,30,1.2,0.15,2.0,9,44.44444444444444,0.08466886036991121,0.1490150995788791,-0.10227830758912104,1.1655656265061567,0.00940765115221235,0.028926039700944515
0.5,2.0,0.85,30,1.2,0.2,2.0,7,42.857142857142854,-0.17259416984176057,0.11293245603461488,-0.1278478844864013,0.662500927302949,-0.024656309977394368,-0.24852366324164277
