filters,stop_atr,rr_ratio,total_trades,win_rate,total_return,avg_win,avg_loss,profit_factor,expectancy,avg_r
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA,0.5,1.5,173,40.46242774566474,0.3241757941189676,0.15188639925221004,-0.10007642867510422,1.0314493417545707,0.0018738485209188957,0.04046242774566367
EMA+Structure,0.5,1.5,24,58.333333333333336,1.542391180499729,0.18340587887523907,-0.1025291123753618,2.5043446146817248,0.06426629918748872,0.5833333333333235
EMA+Structure,0.5,1.5,8,37.5,-0.0029047479411070665,0.177590058941546,-0.10713498495314902,0.9945774054247969,-0.0003630934926383833,0.06249999999998068
EMA+Structure,0.5,1.5,24,58.333333333333336,1.542391180499729,0.18340587887523907,-0.1025291123753618,2.5043446146817248,0.06426629918748872,0.5833333333333235
EMA+Structure,0.5,1.5,8,37.5,-0.0029047479411070665,0.177590058941546,-0.10713498495314902,0.9945774054247969,-0.0003630934926383833,0.06249999999998068
EMA+Structure,0.5,1.5,24,58.333333333333336,1.542391180499729,0.18340587887523907,-0.1025291123753618,2.5043446146817248,0.06426629918748872,0.5833333333333235
EMA+Structure,0.5,1.5,8,37.5,-0.0029047479411070665,0.177590058941546,-0.10713498495314902,0.9945774054247969,-0.0003630934926383833,0.06249999999998068
EMA+Structure,0.5,1.5,24,58.333333333333336,1.542391180499729,0.18340587887523907,-0.1025291123753618,2.5043446146817248,0.06426629918748872,0.5833333333333235
EMA+Structure,0.5,1.5,8,37.5,-0.0029047479411070665,0.177590058941546,-0.10713498495314902,0.9945774054247969,-0.0003630934926383833,0.06249999999998068
EMA+Candle,0.5,1.5,44,47.72727272727273,1.6094195196514232,0.17317925358334504,-0.0881454263303836,1.793855842975879,0.03657771635571417,0.2840909090909092
EMA+Candle,0.5,1.5,44,47.72727272727273,1.6094195196514232,0.17317925358334504,-0.0881454263303836,1.793855842975879,0.03657771635571417,0.2840909090909092
EMA+Candle,0.5,1.5,29,41.37931034482759,0.5831482592600755,0.17685521146164498,-0.09053613401645087,1.3788856145963935,0.02010856066414051,0.13793103448275873
EMA+Candle,0.5,1.5,29,41.37931034482759,0.5831482592600755,0.17685521146164498,-0.09053613401645087,1.3788856145963935,0.02010856066414051,0.13793103448275873
EMA+Candle,0.5,1.5,44,47.72727272727273,1.6094195196514232,0.17317925358334504,-0.0881454263303836,1.793855842975879,0.03657771635571417,0.2840909090909092
EMA+Candle,0.5,1.5,44,47.72727272727273,1.6094195196514232,0.17317925358334504,-0.0881454263303836,1.793855842975879,0.03657771635571417,0.2840909090909092
EMA+Candle,0.5,1.5,29,41.37931034482759,0.5831482592600755,0.17685521146164498,-0.09053613401645087,1.3788856145963935,0.02010856066414051,0.13793103448275873
EMA+Candle,0.5,1.5,29,41.37931034482759,0.5831482592600755,0.17685521146164498,-0.09053613401645087,1.3788856145963935,0.02010856066414051,0.13793103448275873
EMA+Candle+Structure,0.5,1.5,11,63.63636363636363,1.078407857403958,0.19290754912829217,-0.0679862466235218,4.965536821644643,0.09803707794581436,0.7727272727272839
EMA+Candle+Structure,0.5,1.5,8,37.5,0.20968469771735626,0.2009435338998541,-0.07862918079644121,1.533350838946669,0.026210587214669526,0.1875000000000152
EMA+Candle+Structure,0.5,1.5,11,63.63636363636363,1.078407857403958,0.19290754912829217,-0.0679862466235218,4.965536821644643,0.09803707794581436,0.7727272727272839
EMA+Candle+Structure,0.5,1.5,8,37.5,0.20968469771735626,0.2009435338998541,-0.07862918079644121,1.533350838946669,0.026210587214669526,0.1875000000000152
EMA+Vol,0.5,1.5,69,43.47826086956522,0.8070550031860871,0.15121036801097226,-0.09562194967033544,1.2164117977279878,0.011696449321537468,0.13043478260869543
EMA+Vol,0.5,1.5,69,43.47826086956522,0.8070550031860871,0.15121036801097226,-0.09562194967033544,1.2164117977279878,0.011696449321537468,0.13043478260869543
EMA+Vol,0.5,1.5,69,43.47826086956522,0.8070550031860871,0.15121036801097226,-0.09562194967033544,1.2164117977279878,0.011696449321537468,0.13043478260869543
EMA+Vol,0.5,1.5,69,43.47826086956522,0.8070550031860871,0.15121036801097226,-0.09562194967033544,1.2164117977279878,0.011696449321537468,0.13043478260869543
EMA+Vol,0.5,1.5,42,40.476190476190474,0.5058020302849858,0.1608267056696423,-0.08913007864395732,1.2269949888883118,0.012042905482975853,0.08333333333333706
EMA+Vol,0.5,1.5,42,40.476190476190474,0.5058020302849858,0.1608267056696423,-0.08913007864395732,1.2269949888883118,0.012042905482975853,0.08333333333333706
